id,titulo,ref,tipo,categoria,descricao,disponibilidade,preco,razao_social,cnpj,constituicao,tributacao,ativos,valor_estoque,produtos,servicos,fundacao,motivo_venda,vol_vendas_a_1,vol_vendas_a_2,vol_vendas_a_3,faturamento_mensal,lucro_bruto,margem_lucro,lucro_liquido,imovel,endividamento,condicoes_venda,numero_funcionarios,diferencial,endereco,endereco_complemento,endereco_bairro,cidade,estado,pais,_contato_responsavel,_contato_telefone,_contato_email,_contato_skype
32,"IND. METALMECÂNICA",0011,"Metal mecânico",Indústria,,6,8800000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples,"Relação dos equipamentos será enviada em momento oportuno.

Equipamentos:
Possui excelente qualidade com tecnologia avançada, ótima produtividade e estão avaliados em R$ 2.454.370,00.

Infra. Informática:
Possui um escritório bem montado completo com parte de informática conforme necessidade da empresa, softwares,  também podendo ser enviado em anexo à relação descritiva, valor da infra-estrutura de informática R$ 123.540,00

Imóvel:
São 6.993 m ² de área de terreno, em ótima localização, com um galpão pré - moldado de 2680 m ², construção com todo infra-estrutura necessária, pé direito com 6 metros, divididos em área industrial 2.400 m ² mais  280 m ² de escritório.
Valor do imóvel R$ 4.574.640,00

Subtotal mais estoque: R$ 7.157.550,00
",160000,"Possui um produto em desenvolvimento, outro ponto a ser investido para crescer. ","Produzir peças e componentes em chapas para terceiros. Capacidade de faturamento de R$1.000.000,00 mensais com a estrutura física existente, Valor este já faturado em 2008 em duas ocasiões uma no valor de R$ 1.051.000,00 e outra R$1.086.000,00.",1995,"Concentrar investimento e esforços em outro empreendimento que possui, com isso diminuindo também o rítimo de trabalho.","6761992 ",9195448,5794588,482882,100000,10,"48288,20",1,"Será quitado no momento da venda.","A Combinar",41,"Somos referência no mercado, equipe qualificada na área, qualidade nos serviços e produtos, equipamentos com tecnologia de ponta. Mercado muito amplo e pronto à ser explorado não atuamos na região de SP e outros grandes centros que poderíamos crescer.
Negocio promissor, contudo passou por uma crise mundial onde a empresa se encontrava em um processo de abertura de filial, com isso acarretando muitos investimentos, além de perca do foco na matriz, isso tudo ao mesmo tempo, porém a perspectiva de faturamento começam a se normalizar em 2010 temos previsão de faturarmos acima de  R$ 6.000.000,00 novamente, toda esta diminuição de faturamento se comprova facilmente e se explica seus motivos em conversa pessoal.
","Endereço ",Complemento,"Bairro ","Sul do Brasil","Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
33,"CONSTRUTORA DE CASAS",0012,Construtoras,Serviços,,2,100000,Fabrica,06.262.725/0001-34,"Sociedade Limitada",Simples,"Casa completa de show room, para moradia.
Site em desenvolvimento.
5 betoneiras 120 litros
1 betoneira 150 litros
1 betoneira 400l
2 plainas
1 furadeira Bosch impacto
1 serra mármore
1 serra circular
1 esquadrilhadeira
16 Formas para fabricação de pilares 
31 Formas para fabricação de placas
1 mesa vibratória, demais ferramentas.
Show Room montado com móveis de escritório e eletrônicos.
Valor Total aproximado R$ 70.000,00
",0,"Casas pré-fabricadas em placas e pilares de concreto armado.",,2004,Aposentadoria,0,0,0,60000,25000,10,6000,2,,"Negocio pode ser parcelado em 12 meses de R$ 8.300,00.",2,"Mão de obra (Pedreiros, pintor , eletrecista e outros)tercerizados por m2.
Mais de 100 casas construídas em varias cidade Itajaí, Joinville, Itapoá, São Francisco do sul. Possibilidade de vendas em muitas outras cidades até exportação. Pouco capital de giro pois s recebe 30% de entrada, 20% no inicio da obra, 30% na Cobertura e 20% no final da obra. Parceria Com o Presídio industrial para produção das placas e pilares proporcionando um baixo custo de mão de obra.Facil aumento de faturamento","Ponto do Trabalhador",,"Boa Vista",Joinville,"Santa Catarina",Brasil,Claudio,47,maudigital@ig.com.br,Não
34,"IND. ESTAPARIA MECÂNICA",0013,"Metal mecânico",Indústria,,0,2600000,Estaparia,03.794.137/0001-53,"Sociedade Limitada",Simples,"Imóvel: são 7.272 m2 de área de terreno com um galpão de 860 m2 com toda infra-estrutura, elétrica hidráulica, piso industrial.

Negocio: 1 prensa hidráulica de 500ton tipo “H”mesa de 1000x1000 marca Schüller ano 1998 no valor de R$ 180.000,00
1 prensa hidráulica de 200ton tipo “H”, no valor de R$ 20.000,00.
1 Presa excêntrica de 60 ton Chaveta no valor de R$ 30.000,00.
1Torno revolver marca Iram no valor de R$ 5.000,00.
1 Paleteira hidráulica  2 ton. no valor de R$ 3.000,00.
1 Maquina solda Mig no valor de R$ 3.000,00.
1 Guilhotina mecânica marca Sorg no valor de R$ 30.000,00.
1 Compressor de Ar marca Shulz 60 pés no valor de R$ 5.000,00.
Carteira de Clientes.
",0,,"Estamparia corte e dobra",2003,"Mudança de Ramo",0,0,0,110000,60000,15,16000,1,Nenhum,"Este valor é com imóvel caso queria comprar somente o negócio o valor é de R$ 300.000,00, pode aceita parcelamento com uma entrada e parcelas de R$ 50.000,00. A combinar",7,"Negocio foi muito bem antes da crise mundial, ótima margem de lucro grande perspectiva de aumento de faturamento margem de lucro que varia de 30 a 40% muito interessante.","Distrito Industrial",Industria,"Distrito Industrial",Joinville,"Santa Catarina",Brasil,Sidnei,4444444444,maudigital@ig.com.br,
36,"IMPORTADORA E EXPORTADORA COM PRODUTO PRÓPRIO",0015,Distribuidoras,Comércio,,0,5500000,RRRRRRRRRR,11.691.117/0001-85,"Sociedade Limitada",Simples,"Infra. Informática:
Possui um escritório bem montado completo com parte de informática conforme necessidade da empresa, softwares.


Imóvel:
Em ótima localização, construção com todo infra-estrutura necessária já preparada para empresa
",2000000,,,1997,"Possui duas possibilidades de associar e investir parte do valor no negocio, e se for venda completa motivo é investimentos em outros negocio.",0,0,4000000,450000,250000,25,110000,2,"Nenhum somente o giro","Possibilidade de sociedade de 50% onde o valor seria de R$ 3.000.000,00 onde 1.500.000,00 serão investidos na empresa diretamente gerando um aumento significativo nas vendas.",12,"Marca conceituada, vários ponto de venda, mercado em expansão, investimentos em mídia retorno certo, pois é isso que fazemos com o próprio capital e as venda vem crescendo ano a ano!",Centro,Centro,Centro,"Sul do Brasil","Santa Catarina",Brasil,Elio,5555555555,maudigital@ig.com.br,rrrrrrr
37,"CAFETERIA, PANIFICADORA E CONFEITARIA",0016,"Padarias e Confeitarias",Comércio,,0,110000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples,"Equipamentos completos para Panificadora e confeitaria.
 Freezer, Geladeiras, Expositores frios e quentes, Masseira, Modeladora, Divisor, Batedeira, Cilindro,  Fatiadora, Forno 4 Bandejas, Forno 10 Bandeja, Mesas Inox
Prateleiras Inox, Geladeira Inox, Máquina de Café Expresso, Liquidificadores, Microondas, Forno elétrico, etc...
",2000,"Paes, doces, salgados, itens de supermercados, lanches, refrigerantes, bebidas etc..",,2008,Comercial,,,,40000,29000,15,5000,2,"Assumir mais , Projer inicio julho de 2009, Capital de giro B Brasil, Giro Flex B. Brasil, total do passivo aproximadamente R$ 90.000,00.","R$ 110.000,00 mais o passivo de R$ 90.000,00",11,"Localização privilegiada em avenida de circulação, com muitos prédios perto, visuais moderno, estacionamento, possibilidade de abertura de restaurante, assados e outro, espaço amplo.","Endereço ",Complemento,"Bairro ",Joinville,"Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
38,"ESCRITÓRIO DE CONTABILIDADE",0017,"Escritórios de Contabilidade",Serviços,,6,280000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples,"Computadores, mesas, armários, ar condicionando, site, sistemas, etc...
Subtotal: R$ 25.000,00
",0,,"Contabilidade e consultoria em geral.",2005,"Comercial, investir em outras Atividades.",0,0,0,20000,15000,45,9500,2,Nenhum,"Aceita proposta",6,"Parceria com advogados, despachantes, seguradoras, Serasa, associações, com outros escritórios para fortalecimento, redução de despesas, Barganha de preços, centro de treinamento.","Endereço ",Complemento,"Bairro ",Joinville,"Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
39,"LOTÉRICA BAIRRO POPULAR",0018,Lotérica,Serviços,,2,180000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples,"Computadores, impressoras, sistema de controle.
Moveis e utensílios;
Alarme;
",0,,"Pagamentos e Jogos",,"Proprietário esta sem tempo para tocar os negócios.",0,0,0,9500,8000,30,4500,2,Nenhum,"Somente avista",2,"Concessão junto à caixa econômica, muito difícil de conseguir,  bairro com mais de 20 mil habitantes , em crescimento popular.","Endereço ",Complemento,"Bairro ",Joinville,"Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
40,"HOTEL EM GARUVA",0019,"Hotéis e Motéis ",Comércio,,6,1800000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples,"São 23 apartamentos, área total de 7000 metros quadrados de terreno, e 1100 m2 de construção, possibilidade de aumento de mais quartos, Totalmente operacionais, cozinha completa.",0,,hospedagem,2004,"Investimentos em imóveis.",0,0,0,14000,10000,50,7000,1,Nenhum,"Aceita imóvel, carro.
Proposta de arrendamento uma luva de R$ 150.000,00 mais o valor de R$ 4.500,00 mensal.
",4,"Área arborizada, com riacho passando no terreno águas cristalinas, espaço para abertura de restaurante, estacionamento e segurança aos clientes.
Negocio mal trabalhado com grande possibilidade de crescimento proprietário cansado.
","Endereço ",Complemento,"Bairro ",Garuva,"Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
42,"INDÚSTRIA DE PALETES",0020,Madeiras,Indústria,,6,1220000,"Razão Social ","CNPJ ","Sociedade Limitada",Simples,"Imóvel com 1100m2 de área construída, com 1950m2 de área de terreno, avaliada em R$ 850.000,00. Equipamentos: 1 Caminhão MB 1113 – 1980 no valor de R$ 45.000,00 1 Empilhadeira CNH 2013,  gás valor de R$ 59.000,00 Maquinas e equipamentos R$ 150 mil.",0,"Paletes, embalagens de madeira para indústria. ",,1997,"Mudança de ramo, por estar muito tempo no mesmo setor.",1290000,1018000,1010000,80000,40000,18,15000,1,Nenhum,Negociaveis,10,"Clientes grandes empresas da região, mais de 50 em carteira  17 ativos.","Endereço ",Complemento,"Bairro ",Araguari,"Santa Catarina",Brasil,"Responsável ","Telefone ","Email ",Skype
43,"INDUSTRIA DE EQUIPAMENTOS ",0021,Equipamentos,Indústria,,6,2000000,Teksul,"CNPJ ","Sociedade Limitada",Simples,"Um Terreno com 3.398m2, com pavilhão de alvenaria com 408m2 na Rua dos Metais, 65 – Distrito Industrial – Canela (RS).
Uma Fresadora Ferramenteira – MANFORD – Mesa 1250 x 230 Curso Long/Vert 930mm.
Uma Fresadora Ferramenteira – SINITRON – Mesa 1250 x 230 Curso Long/Vert 950mm.
Uma Furadeira de bancada – SCHULZ – Motor 0,5HP – Capac furação 16mm x 90mm.
Uma Furadeira de coluna – KONE – Motor 3HP – Capac furação 30mm x 1200mm.
Um aparelho de Solda MIG – ESAB - Corrente nominal 250A – 50/60Hz – FA 220/380V.
Um aparelho de Solda TIG – CEBORA – Corrente nominal 150ª – 50/60Hz – FA 220/380V.
Um torno paralelo universal – NARDINI – Capac. Torneável 1000xØ410mm.
Um torno paralelo universal – NARDINI – Capac. Torneável 1500xØ500mm.
Uma balança de precisão – BEL – Capacidade Max. 600g Mín.0,2g.
Um esquadro – MITUTOYO – 100x70mm.
Um esquadro – MITUTOYO – 300X200mm.
4 micrometros externos – MITUTOYO – Capacidade de 0-25mm / 25-50mm / 50-75mm / 75-100mm – Leitura 0,01mm.
2 micrometros internos – MITUTOYI – Capacidade de 25-50mm / 5-30mm – Leitura 0,01mm.
Entre outras várias ferramentas de precisão.
",580000,"Lavadoras de frascos e ampolas.
Lavadoras de frascos (Certificada INMETRO para áreas classificadas).
Dosadoras de frascos e ampolas.
Túneis de esterilização.
Batoqueiras.
Rosqueadeiras de tampas, automáticas e semi-automáticas.
Esteiras transportadoras.
Mesas acumuladoras lineares e  rotativas.
Esteiras de elevação de carga.
Forno de selagem para selo retrátil.
","Reforma e manutenção de máquinas para laboratórios farmacêuticos e cosméticos.

",1997,"Necessidade de injeção de capital para investimento na área fabril e  de marketing, como na participação em feiras e exposições com a finalidade de maior divulgação de seus produtos. 
Retirada de um dos sócios da sociedade.
",372416,614762,763452,63000,30000,20,12000,1,"Possui somente os passivos normal de funcionários caso queria demiti-los, aproximadamente 40 mil.","Possibilidades:

* O suposto interessado poderia adquirir a parte do sócio responsável pela área administrativa (50%) por R$ 300.000,00 de forma parcelada desde que o antigo sócio fique isento das responsabilidades dos empréstimos bancários.

* O suposto interessado poderia adquirir 1/3 da sociedade por R$ 800.000,00, sendo que todo o dinheiro seria investido na empresa para quitação das dívidas bancárias e na área de marketing visando aumentar as vendas. 

* O sócio responsável pelos projetos e produção deseja permanecer como sócio da empresa, porém, caso um possível interessado deseje adquirir toda a empresa. O valor de venda seria de R$ 2.000.000,00, menos o valor das dívidas bancárias, ou seja, aproximadamente R$ 1.200.000,00. Valor este que seria dividido entre os antigos sócios.

* Os antigos sócios aceitam permanecer na empresa como funcionários ou colaboradores caso seja necessário. 

",10,"A carteira de clientes que possui empresas do porte de: 
•	Avon Industrial Ltda;
•	Bayer S/A;
•	Biolab Sanus Farmacêutica Ltda;
•	Bunker Indústria Farmacêutica Ltda;
•	Cifarma Científica Farmacêutica Ltda;
•	Fort Dodge Saúde Animal Ltda;
•	Halex Istar Indústria Farmacêutica Ltda;
•	Hypofarma Instituto de Hypodermia e Farmácia Ltda;
•	Indústria e Comércio de Cosméticos Natura S/A;
•	Ipanema Indústria de Produtos Veterinários Ltda;
•	Laboratório Hertape Ltda;
•	Laboratório Teuto Brasileiro S/A;
•	Laboratório Wyeth-Whitehall Ltda;
•	Neolatina Comércio e Indústria Farmacêutica Ltda;
•	Novartis Biociências S/A;
•	Ouro Fino Saúde Animal Ltda;
•	Petrobrás – Petróleo Brasileiro S/A;
•	Pharmacia Brasil Ltda;
•	Pharmascience Laboratórios Ltda;
•	Prodotti Laboratório Farmacêutico Ltda;
•	Produtos Roche Químicos e Farmacêuticos S/A;
•	Rhodia Farma Ltda;
•	Transpetro – Petrobrás Transporte S/A.
•	União Química Farmacêutica Nacional S/A;

E um arquivo de mais de 50 projetos em 3D de máquinas para a indústria farmacêutica e de cosméticos, bem como, projetos de máquinas de lavar frascos e garrafas, certificada pelo INMETRO para área classificada à prova de explosão.

Entre vários projetos possuímos uma linha de máquinas que lava, esteriliza, enche e fecha 12000 unidades de ampolas por hora. Pronta para ser construída. Esta linha de máquinas é vendida no mercado pelos concorrentes (Bausch+Ströbel / Basim / Optima) por um valor em torno de R$ 3.000.000,00. Temos condições de fabricar e vender a mesma linha por um valor de aproximadamente R$ 1.800.000,00 com um lucro líquido de aproximadamente 30%.

","Endereço ",Complemento,"Bairro ",Canela,"Rio Grande do Sul",Brasil,"Responsável ","Telefone ","Email ",Skype
